file,constant_name,name,year,photo,quote,role,image,position,major,class,gender,title,email,bio,specializations,id,specialization,phone,education,achievements,awards,credentials,linkedin,specialties,research
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs14-main/src/components/pages/Home.tsx,student,Marcus Johnson,,,"I came in knowing nothing about programming. Four years later, I've developed multiple apps and started my own tech startup. This program transforms lives.","Class of 2023, Startup Founder",https://images.unsplash.com/photo-1594077841990-3909f3a482a9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxtYWxlJTIwc3R1ZGVudCUyMHRlY2hub2xvZ3l8ZW58MXx8fHwxNzYzNDc1NzI1fDA&ixlib=rb-4.1.0&q=80&w=1080,,,,m,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs14-main/src/components/pages/Home.tsx,student,Priya Patel,,,The collaborative environment and diverse student body enriched my learning experience. I gained technical skills and lifelong friendships.,"Class of 2024, Data Scientist at Microsoft",https://images.unsplash.com/photo-1543689604-6fe8dbcd1f59?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxkaXZlcnNlJTIwc3R1ZGVudCUyMHBvcnRyYWl0fGVufDF8fHx8MTc2MzM3NzgyNHww&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs15-main/src/components/pages/Home.tsx,student,Sarah Chen,Class of 2024,,The CS program gave me both the theoretical foundation and practical skills I needed. I landed my dream job at a leading tech company before graduation!,,https://images.unsplash.com/photo-1633381182794-01b10764b431?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxmZW1hbGUlMjBzdHVkZW50JTIwcG9ydHJhaXR8ZW58MXx8fHwxNzYzNDEwNDc0fDA&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs15-main/src/components/pages/Home.tsx,student,Marcus Johnson,Junior,,"What I love most is the supportive community. Professors are always available, and collaboration with peers made learning enjoyable and effective.",,https://images.unsplash.com/photo-1729697967428-5b98d11486a5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxtYWxlJTIwc3R1ZGVudCUyMHBvcnRyYWl0fGVufDF8fHx8MTc2MzQwODg2NHww&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,,,,m,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs15-main/src/components/pages/Home.tsx,student,Priya Patel,Senior,,"The research opportunities are incredible. I've been working on AI projects since sophomore year, which really sets this program apart.",,https://images.unsplash.com/photo-1758270704524-596810e891b5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxkaXZlcnNlJTIwc3R1ZGVudCUyMHNtaWxpbmd8ZW58MXx8fHwxNzYzNDc1ODI4fDA&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs16-main/src/components/HomePage.tsx,student,Sarah Johnson,,,The hands-on projects and internship opportunities prepared me perfectly for my career at Google. The faculty truly care about student success.,Class of 2024,https://images.unsplash.com/photo-1633381182794-01b10764b431?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxmZW1hbGUlMjBzdHVkZW50JTIwcG9ydHJhaXR8ZW58MXx8fHwxNzYzNDEwNDc0fDA&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs16-main/src/components/HomePage.tsx,student,Marcus Chen,,,I came in knowing nothing about programming. Now I'm developing mobile apps and contributing to open-source projects. This program transformed my life.,Class of 2023,https://images.unsplash.com/photo-1729697967428-5b98d11486a5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxtYWxlJTIwc3R1ZGVudCUyMHBvcnRyYWl0fGVufDF8fHx8MTc2MzQwODg2NHww&ixlib=rb-4.1.0&q=80&w=1080,,,,m,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs16-main/src/components/HomePage.tsx,student,Aisha Patel,,,The collaborative learning environment and state-of-the-art labs made learning to code exciting and accessible. I graduated with multiple job offers.,Class of 2024,https://images.unsplash.com/photo-1758270704025-0e1a1793e1ca?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxkaXZlcnNlJTIwc3R1ZGVudCUyMHN0dWR5aW5nfGVufDF8fHx8MTc2MzQ3NzM2N3ww&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs17-main/src/components/Home.tsx,student,Sarah Chen,Class of 2024,,The CS program gave me the skills and confidence to land my dream job at a top tech company. The professors genuinely care about student success.,Software Engineer at Google,https://images.unsplash.com/photo-1645664747204-31fee58898dc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHx5b3VuZyUyMHdvbWFuJTIwc3R1ZGVudCUyMHNtaWxpbmd8ZW58MXx8fHwxNzYzNDc1MDYwfDA&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs17-main/src/components/Home.tsx,student,Marcus Johnson,Class of 2023,,The hands-on projects and collaborative environment prepared me for real-world challenges. I felt ready from day one of my internship.,Full Stack Developer at Microsoft,https://images.unsplash.com/photo-1677594332295-affd04f83115?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxtYWxlJTIwY29sbGVnZSUyMHN0dWRlbnR8ZW58MXx8fHwxNzYzNDc3MzM4fDA&ixlib=rb-4.1.0&q=80&w=1080,,,,m,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs17-main/src/components/Home.tsx,student,Priya Patel,Class of 2024,,"Beyond technical skills, I learned critical thinking and problem-solving. The program emphasizes innovation and creativity in everything we do.",AI Research Engineer at Meta,https://images.unsplash.com/photo-1758270705641-acf09b68a91f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxkaXZlcnNlJTIwY29sbGVnZSUyMHN0dWRlbnQlMjBwb3J0cmFpdHxlbnwxfHx8fDE3NjM0NzczMzh8MA&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs18-main/src/pages/Home.tsx,student,Sarah Chen,Class of 2024,,The Computer Science program equipped me with both theoretical knowledge and practical skills. I landed my dream job at a top tech company before graduation.,,https://images.unsplash.com/photo-1633381182794-01b10764b431?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxmZW1hbGUlMjBzdHVkZW50JTIwcG9ydHJhaXR8ZW58MXx8fHwxNzYzNDEwNDc0fDA&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs18-main/src/pages/Home.tsx,student,Marcus Thompson,Class of 2024,,The collaborative environment and dedicated faculty made my learning experience incredible. The hands-on projects prepared me for real-world challenges.,,https://images.unsplash.com/photo-1729697967428-5b98d11486a5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxtYWxlJTIwc3R1ZGVudCUyMHBvcnRyYWl0fGVufDF8fHx8MTc2MzQwODg2NHww&ixlib=rb-4.1.0&q=80&w=1080,,,,m,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs18-main/src/pages/Home.tsx,student,Emma Rodriguez,Class of 2025,,"From AI research to web development, the program offers diverse opportunities. The internship connections are invaluable for career preparation.",,https://images.unsplash.com/photo-1654027879796-b9dee8caabb6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHx5b3VuZyUyMHN0dWRlbnQlMjBwb3J0cmFpdHxlbnwxfHx8fDE3NjMzNzUwNzZ8MA&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs19-main/src/components/HomePage.tsx,student,Sarah Johnson,,,The hands-on projects and mentorship from faculty helped me land my dream job at a top tech company. The program exceeded all my expectations.,Class of 2024,https://images.unsplash.com/photo-1753613648137-602c669cbe07?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxjb21wdXRlciUyMHNjaWVuY2UlMjBzdHVkZW50JTIwY29kaW5nfGVufDF8fHx8MTc2MzQ3NzMyN3ww&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs19-main/src/components/HomePage.tsx,student,Michael Chen,,,The curriculum's focus on both theory and practical application prepared me perfectly for the tech industry. I'm now working as a software engineer at a startup I love.,Class of 2023,https://images.unsplash.com/photo-1758270704262-ecc82b23dc37?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxkaXZlcnNlJTIwY29sbGVnZSUyMHN0dWRlbnRzJTIwc3R1ZHlpbmd8ZW58MXx8fHwxNzYzNDc3MzI3fDA&ixlib=rb-4.1.0&q=80&w=1080,,,,m,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs19-main/src/components/HomePage.tsx,student,Emily Rodriguez,,,The supportive community and access to state-of-the-art facilities have made my learning experience incredible. I feel prepared to tackle any challenge.,Current Student,https://images.unsplash.com/photo-1762522921456-cdfe882d36c3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHx5b3VuZyUyMHByb2Zlc3Npb25hbCUyMHBvcnRyYWl0fGVufDF8fHx8MTc2MzQwMTY4NHww&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs20-main/src/components/Home.tsx,student,Sarah Johnson,,https://images.unsplash.com/photo-1657446969218-499fb1599584?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxzdHVkZW50JTIwcG9ydHJhaXQlMjBzbWlsaW5nfGVufDF8fHx8MTc2MzQ3NzM1MXww&ixlib=rb-4.1.0&q=80&w=1080,The CS program transformed my passion for technology into a career. The hands-on projects and supportive faculty prepared me perfectly for my role at a leading tech company.,,,,Class of 2024,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs20-main/src/components/Home.tsx,student,Marcus Chen,,https://images.unsplash.com/photo-1704748082614-8163a88e56b8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxhc2lhbiUyMHN0dWRlbnQlMjBzdHVkeWluZ3xlbnwxfHx8fDE3NjM0NzczNTJ8MA&ixlib=rb-4.1.0&q=80&w=1080,The research opportunities and collaboration with professors helped me publish papers and land internships at top companies. This program exceeded all my expectations.,,,,Class of 2023,,m,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs20-main/src/components/Home.tsx,student,Emily Rodriguez,,https://images.unsplash.com/photo-1715808123833-eecb6547ef8f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxkaXZlcnNlJTIwY29sbGVnZSUyMHN0dWRlbnR8ZW58MXx8fHwxNzYzNDc3MzUyfDA&ixlib=rb-4.1.0&q=80&w=1080,"From day one, I felt welcomed and challenged. The diverse community and innovative curriculum made learning exciting, and I graduated with skills that employers value.",,,,Class of 2024,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/nursing/Nursing11-main/src/components/HomePage.tsx,student,Sarah Mitchell,,,The BSN program prepared me with real-world clinical experience and compassionate care skills. I felt confident starting my nursing career.,,https://images.unsplash.com/photo-1676552055618-22ec8cde399a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxmZW1hbGUlMjBudXJzaW5nJTIwc3R1ZGVudCUyMHBvcnRyYWl0fGVufDF8fHx8MTc2MzQ3ODIwOHww&ixlib=rb-4.1.0&q=80&w=1080,,,Class of 2023,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/nursing/Nursing11-main/src/components/HomePage.tsx,student,Marcus Johnson,,,The faculty were incredibly supportive and the curriculum was challenging but rewarding. I highly recommend this program to anyone passionate about nursing.,,https://images.unsplash.com/photo-1659353885824-1199aeeebfc6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxtYWxlJTIwbnVyc2luZyUyMHN0dWRlbnR8ZW58MXx8fHwxNzYzNDc4MTk3fDA&ixlib=rb-4.1.0&q=80&w=1080,,,Class of 2024,m,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/nursing/Nursing11-main/src/components/HomePage.tsx,student,Priya Patel,,,"From day one, I knew I made the right choice. The diverse clinical rotations exposed me to various specialties and helped me find my passion in pediatrics.",,https://images.unsplash.com/photo-1659353888906-adb3e0041693?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxkaXZlcnNlJTIwbnVyc2luZyUyMHN0dWRlbnR8ZW58MXx8fHwxNzYzNDc4MjA5fDA&ixlib=rb-4.1.0&q=80&w=1080,,,Class of 2023,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/nursing/Nursing13-main/src/components/Home.tsx,student,Sarah Mitchell,Class of 2024,https://images.unsplash.com/photo-1676552055618-22ec8cde399a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHx5b3VuZyUyMG51cnNlJTIwc21pbGluZ3xlbnwxfHx8fDE3NjM0NzgyMTN8MA&ixlib=rb-4.1.0&q=80&w=1080,The BSN program not only taught me clinical skills but also shaped me into a compassionate healthcare professional. The hands-on experience in top hospitals was invaluable.,,,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/nursing/Nursing13-main/src/components/Home.tsx,student,Michael Chen,Class of 2023,https://images.unsplash.com/photo-1632054224659-280be3239aff?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxoZWFsdGhjYXJlJTIwcHJvZmVzc2lvbmFsJTIwbWFsZXxlbnwxfHx8fDE3NjM0NzgyMTN8MA&ixlib=rb-4.1.0&q=80&w=1080,"The faculty truly care about your success. From simulation labs to real-world clinical rotations, every experience prepared me for my career as a pediatric nurse.",,,,,,m,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/nursing/Nursing13-main/src/components/Home.tsx,student,Emily Rodriguez,Class of 2025,https://images.unsplash.com/photo-1698795635777-09ddc4efbecd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxtZWRpY2FsJTIwc3R1ZGVudCUyMHdvbWFufGVufDF8fHx8MTc2MzQ3ODIxM3ww&ixlib=rb-4.1.0&q=80&w=1080,"Choosing this BSN program was the best decision I made. The curriculum is challenging yet supportive, and I feel confident entering the healthcare field.",,,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/nursing/Nursing14-main/src/components/HomePage.tsx,student,Sarah Johnson,Class of 2024,,The hands-on clinical experience and supportive faculty prepared me exceptionally well for my career. I felt confident on my first day as a registered nurse.,,https://images.unsplash.com/photo-1712782390367-6d9a2843d893?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxudXJzaW5nJTIwc3R1ZGVudHN8ZW58MXx8fHwxNzYzNDc4MjQ1fDA&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/nursing/Nursing14-main/src/components/HomePage.tsx,student,Michael Chen,Class of 2023,,"The curriculum is rigorous but incredibly rewarding. The balance of theory and practice is perfect, and the faculty genuinely care about student success.",,https://images.unsplash.com/photo-1612349317150-e413f6a5b16d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxtYWxlJTIwbnVyc2V8ZW58MXx8fHwxNzYzNDc4MjQ3fDA&ixlib=rb-4.1.0&q=80&w=1080,,,,m,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/nursing/Nursing14-main/src/components/HomePage.tsx,student,Emily Rodriguez,Class of 2024,,"From day one, I knew I made the right choice. The program has exceeded my expectations in every way, from clinical placements to research opportunities.",,https://images.unsplash.com/photo-1562673462-877b3612cbea?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxudXJzZSUyMHByb2Zlc3Npb25hbHxlbnwxfHx8fDE3NjMzODgzMDd8MA&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/nursing/Nursing15-main/src/components/Home.tsx,student,Sarah Martinez,Class of 2024,,The BSN program gave me the clinical skills and confidence to excel in my nursing career. The hands-on experience was invaluable.,,https://images.unsplash.com/photo-1676552055618-22ec8cde399a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxmZW1hbGUlMjBudXJzaW5nJTIwc3R1ZGVudHxlbnwxfHx8fDE3NjM0NzgxOTd8MA&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/nursing/Nursing15-main/src/components/Home.tsx,student,Marcus Johnson,Class of 2023,,I chose this program because of its reputation and supportive faculty. It's been transformative for my career in pediatric nursing.,,https://images.unsplash.com/photo-1659353885824-1199aeeebfc6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxtYWxlJTIwbnVyc2luZyUyMHN0dWRlbnR8ZW58MXx8fHwxNzYzNDc4MTk3fDA&ixlib=rb-4.1.0&q=80&w=1080,,,,m,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/nursing/Nursing15-main/src/components/Home.tsx,student,Emily Chen,Current Student,,The curriculum perfectly blends theory with practice. I felt prepared from day one of my clinical rotations.,,https://images.unsplash.com/photo-1732303105596-4731637ced57?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxkaXZlcnNlJTIwbnVyc2luZyUyMHN0dWRlbnRzfGVufDF8fHx8MTc2MzQ3ODE5N3ww&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
